additional_comments_or_suggestions_about_Application_and_Registration_Process.csv,additional_comments_or_suggestions_about_the_Curriculum.csv,additional_comments_or_suggestions_about_Networking.csv,additional_comments_or_suggestions_about_the_Bonus_Lectures.csv,additional_comments_or_suggestions_about_the_Operational_and_Technical_Aspects.csv,additional_comments_or_suggestions_about_the_Practice_Weeks.csv,additional_comments_or_suggestions_about_the_Schedule_and_Attandance.csv,additional_comments_or_suggestions.csv,should_exams_be_part_of_the_curriculum.csv,screening_criteria.csv,decision_to_sign.csv,members_content.csv,what-kind-of-interactivity.csv,suggested-price.csv,what-to-add-for-curriculum.csv
Keep doing what your doing to improve basketball over the word .. and for sure keep people like jelena talking to the coaches ,,,,,,3,Thanks for everything,Yes,Resume,A greek coach,Q&A,Questions in the end or seperate session,Same as the 4th G,Sports Psychology
,Would be great to add on Court Lectures concerning Athletic Training ,,The Bonus Lectures were outstanding ,,,5,The EHCB provides an excellent opportunity to learn for Coaches of all levels.  The first rate instruction from qualified professionals cannot be matched.,Yes,"Resume, Recommendation Letter, Interview Commission consisting of 3 people",Website,"Q&A, Topic based","The format as is it now provides for interaction and questions, thisworksgreat",Should stay the same,Sports Psychology
More practice week,,,,,,4,-,Yes,Coaching Licence Level,Former Alumni(s),Topic based,"More like a video cast, one way communication to watch it later",-,Sport Management
Everything was perfect,,,,,They way how you organize that was an amazing.,5,Definitly I will join again... next generation,No,"Resume, Recommendation Letter",Social Media Post(s),"Q&A, Topic based",Questions in the end or seperate session,"I think will bw great if you organize practice week for youth cathegories teams. For example we check how the youths wotk, have e meeting with their supervisors, talk each other about the system ",Sport Management
,,,,,,5,It was great opportunity to be connected with international coaches from land of Japan. I’d like to keep in touch those people for long time. ,No,Resume,"Website, Social Media Post(s), Phone Call Interview",Topic based,Questions in the end or seperate session,I feel same range of price is fine. ,Sports Psychology
,,,,,,4,In my opinion EHCB 4th generation was success!!!,Yes,Recommendation Letter,"Website, Social Media Post(s), Phone Call Interview",Q&A,"Direct questions to the students, Instant questions allowed",I think current price is totally fine,"Sport Management, Sports Psychology"
,,,,,,4,It was wonderful,Yes,Minimum # of years of experience,"Social Media Post(s), Phone Call Interview","Q&A, Topic based",Questions in the end or seperate session,2500$,"Sport Management, Sports Psychology"
,,,,,,4,nothing,Yes,Coaching Licence Level,"Website, Social Media Post(s), Video Call Interview",Q&A,Questions in the end or seperate session,1000,Sports Psychology
I would say that senior coaches should have separated clinic level in order to have all the same interest in learning or questioning. ,Strenght and conditioning as an important part of basketball should be more basketball oriented and more practical than theoritical. It has to be simple in order for is coaches to u derstand it and implement it better,I belive there should have been designated seats depnding in the participants. Ehcb students shoud have been separated from other coaches. Ehcb students shoud have special meetings with ehcb coaches memberes in order to have more time to get knowledge from them.,I would like to have topic based and practical lectures and then move to questions and answers,,I haven't attended any practice week I wish I could,4,At the congress coaches should have special meetings with ehcb members in order to get mor knowledge 1v1 questioning ,No,Coaching Licence Level,"Former Alumni(s), Congress from previous generations",Topic based,Instant questions allowed,1200$,Sports Psychology
,,I did not participate to Congress so I put 3 on those questions. Kinda neutral,,,,4,I loved it. Had to watch lectures afterwards because my practices were most of the time at the same time with lectures. But I think it was good. It gave me more to think the topics,Yes,"Resume, Minimum # of years of experience",Website,Topic based,"Questions in the end or seperate session, More like a video cast, one way communication to watch it later",2000e,Sports Psychology
,,,,,,5,"Well done, I cannot wait for the next year to start. ",Yes,Coaching Licence Level,Social Media Post(s),Topic based,"More like a video cast, one way communication to watch it later",2000,Sport Management
,,,,,,5,Special thanks to Jelena Todorovic ,Yes,"Resume, Recommendation Letter, Minimum # of years of experience, Coaching Licence Level, English language level","Website, Social Media Post(s), Former Alumni(s), Phone Call Interview, Video Call Interview","Q&A, Topic based, practical teaching",Questions in the end or seperate session,2000,"Sport Management, Sports Psychology"
,,Did not attend the congres,,,Did not participate on practice week due private reasons,5,Keep it on,Yes,Resume,Video Content from previous generations,Topic based,Questions in the end or seperate session,300,Sport Management
